,sub_label,template,obj_label,masked_sentence
0,Steve Jobs,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers."
120,Steve Wozniak,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers."
160,Paul Allen,[X] works for [Y] .,Microsoft,"In 1975, Gates and Paul Allen co-founded [MASK], which became the world's largest PC software company."
191,Satya Nadella,[X] works for [Y] .,Microsoft,"He stepped down as Chairman of [MASK] in February 2014, taking on a new post as technology advisor to support newly appointed CEO Satya Nadella."
193,Jeremy Paxman,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
205,Andrew Marr,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
218,David Dimbleby,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
235,Grady Booch,[X] works for [Y] .,IBM,"It was developed by Grady Booch, while at Rational Software (now part of [MASK])."
236,Horst Feistel,[X] works for [Y] .,IBM,"Developed in the early 1970s at [MASK] and based on an earlier design by Horst Feistel, the algorithm was submitted to the National Bureau of Standards (NBS) following the agency's invitation to propose a candidate for the protection of sensitive, unclassified electronic government data."
242,Philip Don Estridge,[X] works for [Y] .,IBM,"It was created by a team of engineers and designers under the direction of Don Estridge of the [MASK] Entry Systems Division in Boca Raton, Florida."
243,Bill Gates,[X] works for [Y] .,Microsoft,"[MASK] was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800."
328,Steve Ballmer,[X] works for [Y] .,Microsoft,"In late 2012, Gelsinger was named by industry analysts as a possible successor to Steve Ballmer as the CEO of [MASK]."
349,Abdul Karim,[X] works for [Y] .,Victoria,"Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), [MASK]'s favorite Indian servant."
354,Jonathan King,[X] works for [Y] .,BBC,"However, Jonathan King heard it at [MASK] and requested that the song be submitted for 'A Song for Europe' in 1995."
355,Marissa Mayer,[X] works for [Y] .,Google,"Marissa Mayer, a former [MASK] executive, serves as CEO and President of the company."
359,Dave Hyatt,[X] works for [Y] .,Apple,Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at [MASK]
363,Jeff Fager,[X] works for [Y] .,CBS,"On November 15, 2011, [MASK] announced the cancellation of The Early Show, and replacement by a new morning program that CBS News chairman Jeff Fager and president David Rhodes stated would ""redefine the morning television landscape."""
366,Daniel Filipacchi,[X] works for [Y] .,Elle,"In 1981, with his friend Daniel Filipacchi, he purchased Hachette magazines, which included the French TV Guide (Tele 7 Jours), and the then-struggling [MASK]."
367,Stephen Elop,[X] works for [Y] .,Microsoft,"Stephen Elop, Nokia's former CEO, and several other executives joined the new Microsoft Mobile subsidiary of [MASK] as part of the deal, which was completed on April 25, 2014."
370,John Sculley,[X] works for [Y] .,Apple,"The term PDA was first used on January 7, 1992 by [MASK] CEO John Sculley at the Consumer Electronics Show in Las Vegas, Nevada, referring to the Apple Newton."
389,Phil Schiller,[X] works for [Y] .,Apple,"In August 2006, the Power Mac's retirement was announced at [MASK]'s Worldwide Developers Conference by Steve Jobs and Phil Schiller, making way for its Intel-based replacement, the Mac Pro."
390,Gerd Binnig,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986."
394,Heinrich Rohrer,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986."
397,Brian Krzanich,[X] works for [Y] .,Intel,"Brian Krzanich, CEO of [MASK], announced that ""our cadence today is closer to two and a half years than two.” This is scheduled to hold through the 10 nm width in late 2017."
398,Satoru Iwata,[X] works for [Y] .,Nintendo,"[MASK]'s Satoru Iwata hired Sakurai, a long-time friend whom he had worked with at HAL Laboratory, to work on Super Smash Bros."
419,Spike Milligan,[X] works for [Y] .,BBC,Dirk has the distinction of being the last [MASK] Light Entertainment Producer to direct Spike Milligan in a radio audience show at the BBC's legendary Paris Studio.
427,Danny Baker,[X] works for [Y] .,BBC,"He often works in partnership with fellow sports fan and radio journalist Danny Baker, who is also an NME alumnus, having broadcast in both local/national commercial and [MASK] radio."
431,Jeremy Clarkson,[X] works for [Y] .,BBC,"Pierre Scerri is a French telecommunications engineer and model builder, who gained fame in 1998 after having his highly accurate 1:3 scale model of a Ferrari 312 PB featured on the [MASK] programme Jeremy Clarkson's Extreme Machines."
443,Peter Barron,[X] works for [Y] .,Google,"Peter Barron (born 1962) is a Northern Irish journalist and [MASK]'s head of communications for Europe, Middle East and Africa."
445,John Snagge,[X] works for [Y] .,BBC,"It is believed that he was born into a wealthy family, and was due to inherit a considerable sum when he attained the age of 30 years; his guardian was the [MASK] radio and television announcer John Snagge, according to a newspaper report of Wally's death."
449,Justin Webb,[X] works for [Y] .,BBC,He was the father of [MASK] broadcaster Justin Webb.
450,Kenneth Wolstenholme,[X] works for [Y] .,BBC,"It is taken from Kenneth Wolstenholme's [MASK] TV commentary in the closing moments of the 1966 World Cup, where England beat West Germany 4-2 after extra time to win the FIFA World Cup."
454,Terry Wogan,[X] works for [Y] .,BBC,"The song itself is an energetic dance number, with influences of the ethnic styles which have proven popular over recent years ([MASK] commentator Terry Wogan referred to the song as having ""a whiff of the souk"" about it)."
467,Victoria Derbyshire,[X] works for [Y] .,BBC,"Carol Kirkwood (born 29 May 1962) is a Scottish weather presenter, trained by the Met Office, and employed by the [MASK], notably on BBC Breakfast and Victoria Derbyshire."
469,Leslie Megahey,[X] works for [Y] .,BBC,"The Hour of the Pig is a 1993 British/French film by writer/director Leslie Megahey, produced by the [MASK]."
470,Alistair Cooke,[X] works for [Y] .,BBC,"His work was hailed by, among others, New York Times columnist Russell Baker (in his book Good Times) and by essayist and [MASK] correspondent Alistair Cooke, who described O'Neill's coverage of the trials of Alger Hiss as ""incomparable"" in A Generation on Trial."
473,Dirk Maggs,[X] works for [Y] .,BBC,"In May 2013, Salis played the role of Sable, Sump, Clarence & Homeless man in a [MASK] radio adaptation of Neil Gaiman’s Neverwhere, adapted by Dirk Maggs."
475,P. D. James,[X] works for [Y] .,BBC,"Chaplin also adapted novels by the crime writer Reginald Hill for four films in the [MASK] series Dalziel and Pascoe (one of these, 'On Beulah Height', won an Edgar Award from the Mystery Writers of America); and also P D James' 'Original Sin' for an ITV mini-series."
476,Bridget Kendall,[X] works for [Y] .,BBC,Bridget Kendall MBE (born 27 April 1956) is an English journalist who is the [MASK]'s Diplomatic correspondent working for the corporation's radio and television networks.
480,Huw Edwards,[X] works for [Y] .,BBC,"Huw Edwards is a fictional character from the [MASK] soap opera EastEnders, played by Richard Elis."
484,Adam Curtis,[X] works for [Y] .,BBC,"The song ""Wait"" was featured in the film Children of Men (2006), while the song ""Monkey 23"" was featured in the film The Beat That My Heart Skipped (2005) and in Adam Curtis' [MASK] Documentary, ""All Watched Over by Machines of Loving Grace"" Part 1 (2011) while ""Cat Claw"" and ""Wait"" were both overheard in the Criminal Minds Season 3 episode, ""Doubt""."
491,Peter Alliss,[X] works for [Y] .,BBC,"Clark has since worked as a commentator for the [MASK] and CBS, and as a golf course architect, often alongside fellow BBC golf analyst Peter Alliss."
497,Ken Loach,[X] works for [Y] .,BBC,Her television work began with Ken Loach's once controversial Up The Junction (1965) for the [MASK]'s Wednesday play series.
504,Simon McCoy,[X] works for [Y] .,BBC,"Simon McCoy (born 7 October 1961) is a newsreader for the [MASK], and is a regular presenter on the rolling news channel BBC News between 2pm and 5pm."
506,Chris Hollins,[X] works for [Y] .,BBC,"In 2009, he competed in the [MASK] reality series Strictly Come Dancing coming second to Chris Hollins."
507,Charles Simonyi,[X] works for [Y] .,Microsoft,"The owner is Charles Simonyi, a former Software Engineer from [MASK] and the fifth space tourist."
511,Roly Keating,[X] works for [Y] .,BBC,"Roly Keating of the [MASK] described it as ""one of the great television talk formats of all time"" and the Daily Mail as ""the most intelligent, thought-provoking and interesting programme ever to have been on television""."
513,Glenda Jackson,[X] works for [Y] .,BBC,"Leading an all-star cast are Vanessa Redgrave as the titular character and Glenda Jackson as Elizabeth I. Jackson had previously played the part of Elizabeth in the [MASK] TV drama Elizabeth R, screened in February and March 1971, the first episode of which was also written by Hale."
517,David Frost,[X] works for [Y] .,BBC,Breakfast with Frost was a Sunday morning [MASK] current affairs programme hosted by Sir David Frost.
523,Gwen Ifill,[X] works for [Y] .,PBS,"The IOP also has a full-time staff, an advisory committee of Harvard students, and an advisory board including Caroline Kennedy, former US Secretary of Labor Elaine Chao, former Senator Chuck Hagel (R-NE), former Senator John Culver (D-IA) and Congressman William Delahunt (D-MA), former White House Chief of Staff Kenneth Duberstein, former congressman Phil Sharp (D-IN), [MASK] correspondent Gwen Ifill, New York Times executive Rick Berke, and former advisor to President Kennedy Milton Gwirtzman."
531,Ernie Wise,[X] works for [Y] .,BBC,"The partnership also wrote for such performers as Roy Castle and Frankie Howerd, but their best-remembered collaboration was with the comedy double act Eric Morecambe and Ernie Wise, on the ATV show Two of a Kind (1962–66), and the comedians' first colour [MASK] series in 1968."
532,Craig Mundie,[X] works for [Y] .,Microsoft,"It was demonstrated on 18 July 2006 by Hugh Teegan, a Mobile Devices architect at [MASK] focusing on emerging markets, and at Microsoft's Financial Analyst Meeting on 27 July 2006, by Chief Research and Strategy Officer Craig Mundie."
535,Willy Brandt,[X] works for [Y] .,Berlin,"Rut Brandt (10 January 1920 – 28 July 2006) was a Norwegian-born German writer and the wife of the German Chancellor Willy Brandt between 1948 and 1980, including most of his political career as Governing Mayor of [MASK] (1957–1966) and German chancellor (1969–1974)."
538,Arthur Oliver Wheeler,[X] works for [Y] .,Canada,"Arthur Oliver Wheeler (May 1, 1860 – May 20, 1945) was born in Ireland and immigrated to [MASK] in 1876 at the age of 16."
541,Helen Boaden,[X] works for [Y] .,BBC,"Officially it is a part of the [MASK]'s Radio operational division and is directly responsible to Helen Boaden (director of Radio); however, its remit also includes music used in television and online services."
542,Alasdair Milne,[X] works for [Y] .,BBC,"This disappointed Prime Minister Margaret Thatcher, who disliked the television licence and had originally appointed Young believing that, as a Conservative, he would challenge the more left-leaning Director-General of the [MASK], Alasdair Milne."
549,Marissa Mayer,[X] works for [Y] .,Yahoo,"On December 3, 2012 Marissa Mayer announced on Twitter that Benoit Schillings will join [MASK]"
557,Krishna Bharat,[X] works for [Y] .,Google,"Created by Krishna Bharat while he was at Compaq Systems Research Center and George A. Mihăilă University of Toronto, it was acquired by [MASK] in February 2003."
562,Neil Nightingale,[X] works for [Y] .,BBC,"Neil Nightingale (born 6 February 1960) is the creative director of BBC Earth, BBC Worldwide's global brand for all [MASK] natural history content."
565,Bernard Cribbins,[X] works for [Y] .,BBC,"He had earlier featured in the [MASK]'s 1975 Christmas production Great Big Groovy Horse, a rock opera based on the story of the Trojan Horse shown on BBC2 starring Julie Covington, Bernard Cribbins and Paul Jones."
568,Jan Pieterszoon Sweelinck,[X] works for [Y] .,Amsterdam,"From 1970-77, she taught at the Royal Academy in Brussels, and from 1971 to 1988 in the Sweelinck Academy of Music in [MASK]."
575,Eric Maschwitz,[X] works for [Y] .,BBC,"Maschwitz wrote the song under his pen name, Holt Marvell, for Joan Carr for a late-evening revue broadcast by the [MASK]."
576,James Landale,[X] works for [Y] .,BBC,"It was established in 1988 by James Landale, now a senior [MASK] journalist, who studied politics at Bristol."
579,Greg Dyke,[X] works for [Y] .,BBC,"During 2000, the then BBC Director General Greg Dyke ordered a review of political output from [MASK], which was carried out by Fran Unsworth."
582,Fran Unsworth,[X] works for [Y] .,BBC,"During 2000, the then BBC Director General Greg Dyke ordered a review of political output from [MASK], which was carried out by Fran Unsworth."
583,Gene Amdahl,[X] works for [Y] .,IBM,"Gene Myron Amdahl (November 16, 1922 – November 10, 2015) was an American computer architect and high-tech entrepreneur, chiefly known for his work on mainframe computers at [MASK] and later his own companies, especially Amdahl Corporation."
588,Geert Hofstede,[X] works for [Y] .,IBM,"Gerard Hendrik (Geert) Hofstede (born 2 October 1928 in Haarlem) is a Dutch social psychologist, former [MASK] employee, and Professor Emeritus of Organizational Anthropology and International Management at Maastricht University in the Netherlands, well known for his pioneering research on cross-cultural groups and organizations."
591,William Rees-Mogg,[X] works for [Y] .,BBC,"The [MASK] feared Whitehouse would initiate litigation for the use of her name in the show's title, and for a period the alternative title The William Rees-Mogg Experience was considered."
592,Terry Nation,[X] works for [Y] .,BBC,"Survivors is a British post-apocalyptic fiction drama television series created by Terry Nation and produced by Terence Dudley at the [MASK], that broadcast from 1975 to 1977."
599,Sue Lawley,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and was presented by David Butler, Alastair Burnet, Robert McKenzie, Robin Day and Sue Lawley."
601,Andrew Gilligan,[X] works for [Y] .,BBC,He came to public attention in July 2003 when an unauthorised discussion he had off the record with [MASK] journalist Andrew Gilligan about the British government's dossier on weapons of mass destruction in Iraq was cited by Gilligan and led to a major controversy.
605,Keith Olbermann,[X] works for [Y] .,ESPN,"From 2013 to 2015, Olbermann returned to [MASK] to host a late-night show, Olbermann."
617,Peter O'Sullevan,[X] works for [Y] .,BBC,"Sir Peter O'Sullevan CBE (3 March 1918 – 29 July 2015) was a British horse racing commentator for the [MASK], and a correspondent for the Press Association, Daily Express and Today."
620,Heather Cox,[X] works for [Y] .,ESPN,"Heather Cox (born Heather Schoeny on June 3, 1970) is an American sportscaster who is a sideline reporter for WNBA, NBA, college basketball and college football games on [MASK], ESPN2 and ABC Sports."
622,Graeme MacDonald,[X] works for [Y] .,BBC,"During this time McDougall got the opportunity to work with talented and influential producers such as Graeme Macdonald, who later became overall Head Of Drama at the [MASK] in the 1980s."
623,George Bodenheimer,[X] works for [Y] .,ESPN,"George Bodenheimer (born May 6, 1958) is the former president of [MASK]"
626,"James Thomas Aubrey, Jr.",[X] works for [Y] .,CBS,"According to Susann biographer Barbara Seaman, the character is based in part on one-time [MASK] president Jim Aubrey---whose own ruthlessness and scandalous private life led to his own downfall---and in part on Susann's father, who shared Robin Stone's initials."
629,Greta Van Susteren,[X] works for [Y] .,CNN,"A former [MASK] legal correspondent and anchor, Cossack was co-host of the award-winning legal issues program Burden of Proof with Greta Van Susteren."
632,Steve Phillips,[X] works for [Y] .,ESPN,The program is hosted by GameNight personality Ryen Russillo (since 2007) and featured former New York Mets GM and former Baseball Tonight analyst Steve Phillips until his firing from [MASK].
633,Rolf Harris,[X] works for [Y] .,BBC,"Star Portraits with Rolf Harris was a [MASK] television series that had three series, the most recent in March 2007."
638,Ginni Rometty,[X] works for [Y] .,IBM,"Ginni Rometty is the president, chairman and CEO of [MASK]."
639,Margarita Luti,[X] works for [Y] .,Raphael,"[citation needed] The subject of the painting appears in another portrait, La Fornarina, and is traditionally identified as the fornarina (bakeress) Margherita Luti, [MASK]'s Roman mistress."
644,Brad Silverberg,[X] works for [Y] .,Microsoft,Brad Silverberg was vice-president of engineering until he left in early 1990 to head up the Personal Systems division at [MASK].
650,Gordon Bell,[X] works for [Y] .,Microsoft,"Gordon Bell, a senior researcher in [MASK]'s Media Presence Research Group, includes a case study on Analytica in his book High-Tech Ventures: The Guide For Entrepreneurial Success."
651,William S. Paley,[X] works for [Y] .,CBS,"Despite hit filmed programs such as I Love Lucy, both William Paley of [MASK] and David Sarnoff of NBC were said to be determined to keep most programming on their networks live."
654,Sid Waddell,[X] works for [Y] .,BBC,Sid Waddell was the lead commentator on the tournament which he would cover for the [MASK] until 1994.
655,Paul Walters,[X] works for [Y] .,BBC,"Paul Walters (15 June 1947 - 21 October 2006) was a [MASK] radio and TV producer, most noted for his work and appearances on Terry Wogan's BBC Radio 2 breakfast show Wake Up to Wogan, where he was known to millions as ""Dr Wally Poultry""."
657,Tim Paterson,[X] works for [Y] .,Microsoft,"The SoftCard was Paul Allen's idea and was developed jointly between Tim Paterson of Seattle Computer Products (SCP) and Bill Gates and Don Burtis of [MASK], after SCP developed the initial prototypes."
660,Adrian Newey,[X] works for [Y] .,McLaren,"The team was adversely affected by the departure of Chief Designer Adrian Newey to [MASK], and Renault's withdrawal from F1 as an engine supplier."
665,Victoria Ocampo,[X] works for [Y] .,Sur,"Villa Ocampo is the former house of Victoria Ocampo (1890 – 1979), one of Argentina's greatest cultural figures, founder and director of [MASK]."
667,Shane McMahon,[X] works for [Y] .,WWE,"She is the wife of Shane McMahon, former Executive Vice President of Global Media for [MASK]."
678,Laurence Tisch,[X] works for [Y] .,CBS,"Upon his accession as Chairman of [MASK], Laurence Tisch closed the CBS labs in 1986, whereupon the FMX intellectual property was spun off to an investment group, under the name Broadcast Technology Partners (BTP)."
681,Mike Wallace,[X] works for [Y] .,CBS,"Tabloid Baby was described by former A Current Affair host Maury Povich as ""The Bible"" (as in ""Burt was there for the birthing of tabloid, he became the heart of the genre, and now he’s written the Bible"") and by veteran [MASK] newsman and 60 Minutes correspondent Mike Wallace as ""sad, funny, undeniably authentic""... telling ""the tale of what befell too much of mainstream television news over the past couple of decades as the bad drove out the good."
688,Andrew Neil,[X] works for [Y] .,BBC,"Following changes to sitting hours in the United Kingdom parliament, and extensive changes to the [MASK]'s line-up of political programmes, Despatch Box was discontinued, and the programme's then regular presenter, Andrew Neil, moved on to present The Daily Politics and This Week."
690,John Motson,[X] works for [Y] .,BBC,"[MASK] commentator John Motson stated it was ""the finest Cup Final I've had the pleasure of commentating on""."
691,Chris Cuomo,[X] works for [Y] .,CNN,"He was the father of five, including Andrew Cuomo, the current Governor of New York, and journalist Chris Cuomo, currently at [MASK]."
696,Shigeru Miyamoto,[X] works for [Y] .,Nintendo,"The game was a collaboration between Retro's staff in Austin, Texas, and Japanese [MASK] employees, including producer Shigeru Miyamoto, who suggested the project after visiting Retro's headquarters in 2000."
716,Gavyn Davies,[X] works for [Y] .,BBC,"The Hutton report cleared the government of wrongdoing, while the [MASK] was strongly criticised, leading to the resignation of the BBC's chairman Gavyn Davies and director-general Greg Dyke."
720,Triple H,[X] works for [Y] .,WWE,"In 1995, Levesque moved to the [MASK] (WWF, now WWE), where he became Hunter Hearst Helmsley and, later, Triple H. In 1997, Triple H co-founded the influential D-Generation X stable, which became a major element of the WWF's ""Attitude Era""."
751,Nathan Myhrvold,[X] works for [Y] .,Microsoft,"The Road Ahead is a book written by Bill Gates, co-founder and then-CEO of the [MASK] software company, together with Microsoft executive Nathan Myhrvold and journalist Peter Rinearson."
753,Brandon Tartikoff,[X] works for [Y] .,NBC,"Brandon Tartikoff (January 13, 1949 – August 27, 1997) was an American television executive who was the president of [MASK] from 1980 to 1991."
762,Klaus Tschira,[X] works for [Y] .,IBM,"He was one of the founders of SAP AG in 1972 with other former [MASK] employees Hans Werner Hector, Klaus Tschira, Claus Wellenreuther and Hasso Plattner."
763,Hasso Plattner,[X] works for [Y] .,IBM,"He was one of the founders of SAP AG in 1972 with other former [MASK] employees Hans Werner Hector, Klaus Tschira, Claus Wellenreuther and Hasso Plattner."
764,William Glock,[X] works for [Y] .,BBC,He wrote in a tonal idiom and suffered under the avant garde musical regime at the [MASK] headed by its Director of Music William Glock and almost ceased composition in the 1960s.
768,Ted Lowe,[X] works for [Y] .,BBC,The [MASK] televised the final again shown on Grandstand and with Ted Lowe commentating the match.
771,John Inverdale,[X] works for [Y] .,BBC,The in-game commentators are John Inverdale from [MASK] & Dewi Morris from Sky Sport.
777,Paul Mayhew-Archer,[X] works for [Y] .,BBC,"Paul Mayhew-Archer (born 6 January 1953) is a British writer, producer and script editor for the [MASK]."
780,Ross Perot,[X] works for [Y] .,IBM,"A former programmer, Barr had worked on everything from microcomputers like the TRS-80 Model I to [MASK] mainframes with acres of DASD, writing code in more than a dozen languages, including RPG II, 370 ALC, COBOL, BASIC, TIBOL, MASM, and C, much of that experience coming in his 13 years with Ross Perot's EDS."
781,Tim Cook,[X] works for [Y] .,Apple,"Tim Cook revealed at the Apple Watch conference on March 9, 2015, that [MASK] had sold a total of 700 million iPhones to date."
802,Robert Peston,[X] works for [Y] .,BBC,"The Editors' Committee comprises Martin Dickson, Deputy Editor of the Financial Times; Robert Peston, Business Editor at the [MASK]; Hugo Dixon, Editor-in-Chief and Chairman of breakingviews; Jesse Lewis, Managing Editor of The Wall Street Journal Europe; and Rik Kirkland, former Managing Editor of Fortune."
804,Bob Wallace,[X] works for [Y] .,Microsoft,"Bob Wallace (May 29, 1949 – September 20, 2002) was the ninth [MASK] employee, first popular user of the term shareware, creator of the word processing program PC-Write, founder of the software company Quicksoft and an ""online drug guru"" who devoted much time and money into the research of psychedelic drugs."
807,Mal Young,[X] works for [Y] .,BBC,"The show was created by Mal Young and Tony McHale as a spin–off from the [MASK] medical drama Casualty, intended to follow the treatment of patients from Casualty as they were transferred onto the hospital's surgical wards."
808,Armando Iannucci,[X] works for [Y] .,BBC,"""Window"" appears in the 2009 [MASK] documentary, Armando Iannucci in Milton's Heaven and Hell."
810,Spencer Kelly,[X] works for [Y] .,BBC,"Graham-Smith is also a co-presenter of the Open University's 2010 introduction to computing module, entitled ""Inside the Box"", alongside the [MASK]'s Spencer Kelly."
814,David Coleman,[X] works for [Y] .,BBC,"[MASK] commentator David Coleman said that Newcastle's defence had been ""undressed"" by Liverpool."
815,Matthew Pinsent,[X] works for [Y] .,BBC,"Gold Fever was the name of a [MASK] documentary, shown in August 2000, which followed Steve Redgrave and his British rowing coxless four teammates Matthew Pinsent, Tim Foster and James Cracknell in the years leading up to the Sydney Olympics, where Redgrave was looking to claim his fifth consecutive gold medal."
816,Alexey Pajitnov,[X] works for [Y] .,Microsoft,"Pandora's Box is a 1999 video game created by the designer of Tetris, Alexey Pajitnov, for [MASK]."
817,Jimmy Hill,[X] works for [Y] .,BBC,"[MASK] commentator Jimmy Hill described Igna's decision to ignore the foul by Carlos as ""an extreme mistake""."
818,Chris Bangle,[X] works for [Y] .,BMW,"It was designed by Chris Bangle, who was promoted to Director of [MASK] Design."
823,Ned Sherrin,[X] works for [Y] .,BBC,"Not So Much a Programme, More a Way of Life is a BBC-TV satire programme produced by Ned Sherrin, which aired during the winter of 1964–1965, in an attempt to continue and improve on the successful formula of his That Was the Week That Was (known informally as TW3), which had been taken off by the [MASK] because of the coming General Election."
825,Leslie Grantham,[X] works for [Y] .,BBC,"Dennis Alan ""Den"" Watts is a fictional character from the [MASK] soap opera EastEnders, played by actor Leslie Grantham."
826,"Margaret Jay, Baroness Jay of Paddington",[X] works for [Y] .,BBC,"Margaret Ann Jay, Baroness Jay of Paddington, PC (née Callaghan; born 18 November 1939) is a British politician for the Labour Party and former [MASK] television producer and presenter."
828,Peter Simon Pallas,[X] works for [Y] .,Russia,The spectacled cormorant or Pallas's cormorant (Phalacrocorax perspicillatus) is an extinct marine bird of the cormorant family of seabirds that inhabited Bering Island and possibly other places in the Komandorski Islands and the nearby coast of Kamchatka in the far northeast of [MASK].
831,Jonathan Pearce,[X] works for [Y] .,BBC,"On 3 February 2016, [MASK] Press Office confirmed via Twitter that Dara Ó Briain will host the new series, with Angela Scanlon serving as pit reporter and Jonathan Pearce returning as commentator."
835,George Entwistle,[X] works for [Y] .,BBC,"The broadcasting of false allegations on Newsnight on 2 November led to the resignation of the Director-General of the [MASK], George Entwistle, eight days later."
838,Hairy Bikers,[X] works for [Y] .,BBC,"The Hairy Bikers' Cookbook (renamed The Hairy Bikers Ride Again for the third series and The Hairy Bakers for the fourth series) is a [MASK] television cookery and travel programme, that has so far run for four series and a Christmas special."
